trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
308,False,"{'e': 0.21438110142697794, 'a': 0.5919999999999997}",20,6,16.07734774584879,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
309,False,"{'e': 0.21331187122291523, 'a': 0.5909999999999997}",25,13,-21.348949624582218,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
310,False,"{'e': 0.21224797382674304, 'a': 0.5899999999999997}",20,5,8.557020723037981,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
311,False,"{'e': 0.21118938264097117, 'a': 0.5889999999999997}",25,4,34.265688346090876,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
312,False,"{'e': 0.21013607120076472, 'a': 0.5879999999999997}",20,1,5.351622250808891,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
313,False,"{'e': 0.20908801317328293, 'a': 0.5869999999999997}",25,0,9.296219957634781,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
314,False,"{'e': 0.20804518235702046, 'a': 0.5859999999999997}",20,16,9.123005246947493,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
315,False,"{'e': 0.20700755268115265, 'a': 0.5849999999999997}",25,14,4.663117471409446,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
316,False,"{'e': 0.20597509820488344, 'a': 0.5839999999999997}",20,12,6.822021327090207,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
317,False,"{'e': 0.2049477931167973, 'a': 0.5829999999999997}",20,6,11.186334832112838,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
318,False,"{'e': 0.20392561173421342, 'a': 0.5819999999999997}",30,17,10.162403796627776,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
319,False,"{'e': 0.20290852850254407, 'a': 0.5809999999999997}",20,0,31.27665605668885,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
320,False,"{'e': 0.20189651799465538, 'a': 0.5799999999999997}",25,6,10.979407847396676,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
321,False,"{'e': 0.20088955491023208, 'a': 0.5789999999999997}",20,8,16.3789911146833,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
322,False,"{'e': 0.1998876140751445, 'a': 0.5779999999999997}",25,8,19.357673705576204,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
323,False,"{'e': 0.19889067044081962, 'a': 0.5769999999999997}",30,21,13.562143815600745,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
